 TIME                    	Temperature_ext_C        	Sky_Temperature          	Relative_Humidity        	Wind_velocity            	Solar_zenith_angle       	Solar_Azimut_angle       	Total_titled_surf_radiati	Beam_radiation           	Angle_of_incid_4_surf    	Ground_reflectance       	
  +1.0000000000000000E+00	  +5.9600000000000000E+00	  +6.9740847995541344E-01	  +5.5277949765283486E-03	  +3.3799999999999999E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +2.0000000000000000E+00	  +5.6449999999999996E+00	  +3.3924531413163095E-01	  +5.4651125707523632E-03	  +3.3849999999999998E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +3.0000000000000000E+00	  +5.1449999999999996E+00	  +4.9831494052165226E-01	  +5.3608754281127035E-03	  +3.2800000000000002E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +4.0000000000000000E+00	  +4.8049999999999997E+00	  +8.2510803767382868E-01	  +5.2894150308552580E-03	  +3.2949999999999999E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +5.0000000000000000E+00	  +4.4100000000000001E+00	  +3.5972407352443270E-01	  +5.1980627570775663E-03	  +3.4150000000000000E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +6.0000000000000000E+00	  +3.8550000000000000E+00	  -2.8199625261373740E-01	  +5.0240154690266740E-03	  +3.2199999999999998E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +7.0000000000000000E+00	  +3.6600000000000001E+00	  -5.4998100849263665E-01	  +4.9287116430359575E-03	  +2.9749999999999996E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +8.0000000000000000E+00	  +3.7149999999999999E+00	  -5.4742072972561573E-01	  +4.9199668956302787E-03	  +2.6450000000000000E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +9.0000000000000000E+00	  +3.5850000000000000E+00	  -7.3169418722608270E-01	  +4.8728042376898536E-03	  +2.0499999999999998E+00	  +8.7991924173615345E+01	  -5.4902492515515377E+01	  +5.5029033741221109E+00	  +0.0000000000000000E+00	  +5.4927215231048109E+01	  +2.0000000000000001E-01	
  +1.0000000000000000E+01	  +3.5600000000000001E+00	  -1.6170958686826111E+00	  +4.8129268764139418E-03	  +1.5699999999999998E+00	  +8.1946693994702215E+01	  -4.6948932426423305E+01	  +4.9576177051424452E+02	  +3.0902959851451118E+02	  +4.7474540080985129E+01	  +2.0000000000000001E-01	
  +1.1000000000000000E+01	  +3.7700000000000000E+00	  -1.4788138268127682E+00	  +4.6793324201233498E-03	  +1.2650000000000001E+00	  +7.4853276756680160E+01	  -3.4863944123788201E+01	  +1.2210046976029837E+03	  +7.8978946040123344E+02	  +3.7626526163479447E+01	  +2.0000000000000001E-01	
  +1.2000000000000000E+01	  +4.3700000000000001E+00	  -9.1673466792394720E-01	  +4.6424676425314690E-03	  +1.2150000000000001E+00	  +6.9740770290273545E+01	  -2.1406368520992977E+01	  +1.5744363165075101E+03	  +1.0124667527450214E+03	  +2.9141642569027056E+01	  +2.0000000000000001E-01	
  +1.3000000000000000E+01	  +5.0949999999999998E+00	  -1.0071207092277632E+00	  +4.7198617549546601E-03	  +1.4150000000000000E+00	  +6.7093237002183429E+01	  -6.8394758393938329E+00	  +1.3980356990845644E+03	  +8.8239098862386709E+02	  +2.3853230821550127E+01	  +2.0000000000000001E-01	
  +1.4000000000000000E+01	  +5.5549999999999997E+00	  -1.3496478555354088E+00	  +4.7615125023886514E-03	  +1.9099999999999999E+00	  +6.7216054003209166E+01	  +8.1361716196297227E+00	  +9.7607123620897141E+02	  +5.0599622096437412E+02	  +2.4119998758798925E+01	  +2.0000000000000001E-01	
  +1.5000000000000000E+01	  +5.7750000000000004E+00	  -1.0793839116288950E+00	  +4.7773211198683645E-03	  +2.3250000000000002E+00	  +7.0094087964979465E+01	  +2.2628782704850170E+01	  +1.1335264741807944E+03	  +6.0299576280821532E+02	  +2.9787996665111578E+01	  +2.0000000000000001E-01	
  +1.6000000000000000E+01	  +5.8650000000000002E+00	  -9.6382025034461094E-01	  +4.6884745615350630E-03	  +2.2199999999999998E+00	  +7.5399451982842308E+01	  +3.5970781897911884E+01	  +8.3649805659554931E+02	  +4.7084852231162949E+02	  +3.8447229296581234E+01	  +2.0000000000000001E-01	
