 TIME                    	Temperature_ext_C        	Sky_Temperature          	Relative_Humidity        	Wind_velocity            	Solar_zenith_angle       	Solar_Azimut_angle       	Total_titled_surf_radiati	Beam_radiation           	Angle_of_incid_4_surf    	Ground_reflectance       	
  +1.0000000000000000E+00	  +1.2240000000000000E+01	  +4.0320312316867444E+00	  +8.0788807295664820E-03	  +4.9500000000000002E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +2.0000000000000000E+00	  +1.2155000000000001E+01	  +4.5290875431211930E+00	  +8.0792796620758490E-03	  +5.0950000000000006E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +3.0000000000000000E+00	  +1.2260000000000000E+01	  +5.1967122857904542E+00	  +8.1392715651427590E-03	  +5.4150000000000000E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +4.0000000000000000E+00	  +1.2274999999999999E+01	  +4.4479950378556055E+00	  +8.1046896915759701E-03	  +5.4600000000000000E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +5.0000000000000000E+00	  +1.2180000000000000E+01	  +3.5238279472769705E+00	  +8.0090873271142799E-03	  +5.1449999999999996E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +6.0000000000000000E+00	  +1.2230000000000000E+01	  +2.7492358217817809E+00	  +8.0362845255526963E-03	  +4.8450000000000006E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +7.0000000000000000E+00	  +1.2324999999999999E+01	  +2.7160749683250742E+00	  +8.0863880445005577E-03	  +4.8450000000000006E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +8.0000000000000000E+00	  +1.2279999999999999E+01	  +3.2261980940467083E+00	  +8.0618072499401110E-03	  +5.2000000000000002E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +9.0000000000000000E+00	  +1.2225000000000000E+01	  +2.3161402408613299E+00	  +7.9879465141307927E-03	  +5.6600000000000001E+00	  +8.7991924173615345E+01	  -5.4902492515515377E+01	  +5.5029033741221109E+00	  +0.0000000000000000E+00	  +5.4927215231048109E+01	  +2.0000000000000001E-01	
  +1.0000000000000000E+01	  +1.2650000000000000E+01	  +2.6367010498658487E+00	  +7.9850128339237908E-03	  +5.9100000000000001E+00	  +8.1946693994702215E+01	  -4.6948932426423305E+01	  +8.7372348594331652E+02	  +5.6452651067217789E+02	  +4.7474540080985129E+01	  +2.0000000000000001E-01	
