 TIME                    	Temperature_ext_C        	Sky_Temperature          	Relative_Humidity        	Wind_velocity            	Solar_zenith_angle       	Solar_Azimut_angle       	Total_titled_surf_radiati	Beam_radiation           	Angle_of_incid_4_surf    	Ground_reflectance       	
  +1.0000000000000000E+00	  +7.1200000000000001E+00	  -2.3064511233377516E+00	  +5.6521501789444780E-03	  +6.4000000000000001E-01	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +2.0000000000000000E+00	  +7.1449999999999996E+00	  -2.3450387712255747E+00	  +5.6619902578736465E-03	  +8.3000000000000007E-01	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +3.0000000000000000E+00	  +7.2349999999999994E+00	  -2.3420574841396160E+00	  +5.6655944940134061E-03	  +1.1000000000000001E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +4.0000000000000000E+00	  +7.1650000000000000E+00	  -2.5345209992329387E+00	  +5.6389170066663101E-03	  +1.2749999999999999E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +5.0000000000000000E+00	  +6.9250000000000007E+00	  -2.1748193526568684E+00	  +5.5776096864049345E-03	  +1.1699999999999999E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +6.0000000000000000E+00	  +6.7400000000000002E+00	  -1.7341133331112815E+00	  +5.5372518070982337E-03	  +9.2999999999999994E-01	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +7.0000000000000000E+00	  +6.4700000000000006E+00	  -2.1446743597262525E+00	  +5.4938370158936030E-03	  +9.6999999999999997E-01	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +8.0000000000000000E+00	  +6.3900000000000006E+00	  -2.3535165632489452E+00	  +5.4311227692242997E-03	  +1.2450000000000001E+00	  +9.0000000000000000E+01	  -9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +9.0000000000000000E+01	  +2.0000000000000001E-01	
  +9.0000000000000000E+00	  +6.3100000000000005E+00	  -2.5525904153715260E+00	  +5.3690558142373817E-03	  +1.4249999999999998E+00	  +8.7991924173615345E+01	  -5.4902492515515377E+01	  +5.5029033741221109E+00	  +0.0000000000000000E+00	  +5.4927215231048109E+01	  +2.0000000000000001E-01	
  +1.0000000000000000E+01	  +6.2000000000000002E+00	  -2.7988326927004437E+00	  +5.2675320574553644E-03	  +1.2450000000000001E+00	  +8.1946693994702215E+01	  -4.6948932426423305E+01	  +1.3179195612968547E+02	  +4.6232774580911126E+01	  +4.7474540080985129E+01	  +2.0000000000000001E-01	
