Timestamp,THERMOKON_15DF_OccupancyTime_u6_108,THERMOKON_15DF_OccupancyBinaire_u6_108,NOVOS3_7_Temperature_u6_108,THERMOKON_15DF_Humidity_u6_108,NOVOS3_7_Co2_u6_108,DUTCHSS_1F6E_Noise_u6_108
01-Jul-2024 00:00:00,0,0,25.7,53,1250,33.7
01-Jul-2024 00:10:00,0,0,25.7,53,1250,33.7
01-Jul-2024 00:20:00,0,0,25.6,53,1249,33.7
01-Jul-2024 00:30:00,0,0,25.6,53,1249,33.7
01-Jul-2024 00:40:00,0,0,25.6,53,1249,33.7
01-Jul-2024 00:50:00,0,0,25.6,53,1249,33.7
01-Jul-2024 01:00:00,0,0,25.6,53,1237,33.7
01-Jul-2024 01:10:00,0,0,25.6,53,1237,33.6
01-Jul-2024 01:20:00,0,0,25.6,53,1237,33.7
01-Jul-2024 01:30:00,0,0,25.5,54,1250,33.7
01-Jul-2024 01:40:00,0,0,25.5,54,1250,33.7
01-Jul-2024 01:50:00,0,0,25.5,54,1250,33.7
01-Jul-2024 02:00:00,0,0,25.5,54,1242,33.7
01-Jul-2024 02:10:00,0,0,25.5,54,1242,33.7
01-Jul-2024 02:20:00,0,0,25.5,54,1242,33.7
01-Jul-2024 02:30:00,0,0,25.5,54,1242,33.7
01-Jul-2024 02:40:00,0,0,25.5,54,1242,33.7
01-Jul-2024 02:50:00,0,0,25.5,54,1242,33.7
01-Jul-2024 03:00:00,0,0,25.5,54,1233,33.7
01-Jul-2024 03:10:00,0,0,25.5,54,1233,33.7
01-Jul-2024 03:20:00,0,0,25.5,54,1233,33.7
01-Jul-2024 03:30:00,0,0,25.5,54,1252,33.7
01-Jul-2024 03:40:00,0,0,25.5,54,1252,33.7
01-Jul-2024 03:50:00,0,0,25.5,54,1252,33.7
01-Jul-2024 04:00:00,0,0,25.5,54,1226,33.7
01-Jul-2024 04:10:00,0,0,25.5,54,1226,33.7
01-Jul-2024 04:20:00,0,0,25.5,54,1226,33.7
01-Jul-2024 04:30:00,0,0,25.5,54,1240,33.7
01-Jul-2024 04:40:00,0,0,25.5,54,1240,33.7
01-Jul-2024 04:50:00,0,0,25.5,54,1240,33.7
01-Jul-2024 05:00:00,0,0,25.5,54,1240,33.7
01-Jul-2024 05:10:00,0,0,25.4,54,1244,33.7
01-Jul-2024 05:20:00,0,0,25.4,54,1244,33.7
01-Jul-2024 05:30:00,0,0,25.4,54,1244,33.7
01-Jul-2024 05:40:00,0,0,25.4,54,1240,33.7
01-Jul-2024 05:50:00,0,0,25.4,54,1240,33.7
01-Jul-2024 06:00:00,0,0,25.4,54,1240,33.7
01-Jul-2024 06:10:00,0,0,25.4,54,1252,33.7
01-Jul-2024 06:20:00,0,0,25.4,54,1252,33.7
01-Jul-2024 06:30:00,0,0,25.4,54,1252,33.7
01-Jul-2024 06:40:00,0,0,25.4,54,1243,34.1
01-Jul-2024 06:50:00,0,0,25.4,54,1243,33.6
01-Jul-2024 07:00:00,0,0,25.4,54,1243,33.7
01-Jul-2024 07:10:00,0,0,25.3,54,1251,33.9
01-Jul-2024 07:20:00,0,0,25.3,54,1251,33.7
01-Jul-2024 07:30:00,0,0,25.3,54,1251,33.7
01-Jul-2024 07:40:00,0,0,25.3,54,1270,33.6
01-Jul-2024 07:50:00,3,1,25.3,53,1270,33.7
01-Jul-2024 08:00:00,0,0,25.3,52,1270,34.5
01-Jul-2024 08:10:00,0,0,23,52,1254,34.3
01-Jul-2024 08:20:00,3,1,23,52,1254,41
01-Jul-2024 08:30:00,5,1,23,52,1254,40.4
01-Jul-2024 08:40:00,0,0,22.7,52,1295,41.9
01-Jul-2024 08:50:00,7,1,22.7,52,1295,40.9
01-Jul-2024 09:00:00,9,1,22.7,53,1295,43.1
01-Jul-2024 09:10:00,0,0,22.5,53,1270,43.8
01-Jul-2024 09:20:00,3,1,22.5,53,1270,47.8
01-Jul-2024 09:30:00,9,1,22.5,54,1270,49.8
01-Jul-2024 09:40:00,0,0,22.5,54,1270,48.7
01-Jul-2024 09:50:00,7,1,22.7,55,1241,47.5
01-Jul-2024 10:00:00,3,1,22.7,55,1241,41.4
01-Jul-2024 10:10:00,0,0,22.7,54,1241,43.4
01-Jul-2024 10:20:00,3,1,23.4,54,1345,43.8
01-Jul-2024 10:30:00,11,1,23.4,54,1345,42.5
01-Jul-2024 10:40:00,0,0,23.4,54,1345,43.7
01-Jul-2024 10:50:00,0,0,24.2,54,1377,42
01-Jul-2024 11:00:00,15,1,24.2,54,1377,45.1
01-Jul-2024 11:10:00,0,0,24.2,54,1377,41.9
01-Jul-2024 11:20:00,0,0,24.4,54,1455,43.3
01-Jul-2024 11:30:00,23,1,24.4,54,1455,47.1
01-Jul-2024 11:40:00,1,0,24.4,54,1455,50
01-Jul-2024 11:50:00,0,0,24.6,54,1517,47.5
01-Jul-2024 12:00:00,3,1,24.6,54,1517,50.8
01-Jul-2024 12:10:00,0,0,24.6,54,1517,46
01-Jul-2024 12:20:00,5,1,24.6,53,1420,33.7
01-Jul-2024 12:30:00,0,0,24.6,53,1420,33.7
01-Jul-2024 12:40:00,0,0,24.6,53,1420,33.7
01-Jul-2024 12:50:00,0,0,24.7,53,1369,33.7
01-Jul-2024 13:00:00,0,0,24.7,53,1369,33.7
01-Jul-2024 13:10:00,0,0,24.7,52,1369,33.7
01-Jul-2024 13:20:00,0,0,24.7,52,1369,33.7
01-Jul-2024 13:30:00,3,1,24.8,52,1329,33.7
01-Jul-2024 13:40:00,0,0,24.8,49,1329,35.8
01-Jul-2024 13:50:00,1,0,24.8,49,1329,37.2
01-Jul-2024 14:00:00,1,0,24.5,44,1301,45.9
01-Jul-2024 14:10:00,0,0,24.5,44,1301,45.9
01-Jul-2024 14:20:00,7,1,24.5,44,1301,47.7
01-Jul-2024 14:30:00,13,1,24.6,44,1276,41.4
01-Jul-2024 14:40:00,0,0,24.6,44,1276,43.5
01-Jul-2024 14:50:00,3,1,24.6,44,1276,46.2
01-Jul-2024 15:00:00,11,1,24.7,45,1257,44.7
01-Jul-2024 15:10:00,0,0,24.7,47,1257,41.1
01-Jul-2024 15:20:00,0,0,24.7,48,1257,43.8
01-Jul-2024 15:30:00,9,1,24.5,49,1285,41.4
01-Jul-2024 15:40:00,0,0,24.5,49,1285,34.4
01-Jul-2024 15:50:00,5,1,24.5,50,1285,41.7
01-Jul-2024 16:00:00,13,1,24.4,51,1310,38.3
01-Jul-2024 16:10:00,0,0,24.4,50,1310,45.6
01-Jul-2024 16:20:00,0,0,24.4,51,1310,45
01-Jul-2024 16:30:00,3,1,24.4,51,1254,36.8
01-Jul-2024 16:40:00,0,0,24.4,50,1254,34.3
01-Jul-2024 16:50:00,3,1,24.4,50,1254,38.5
01-Jul-2024 17:00:00,0,0,24.3,50,1291,35.9
01-Jul-2024 17:10:00,0,0,24.3,50,1291,47.8
01-Jul-2024 17:20:00,3,1,24.3,50,1291,49.1
01-Jul-2024 17:30:00,19,1,24.3,50,1291,41.2
01-Jul-2024 17:40:00,0,0,24.6,51,1318,44.3
