hc_date,day,PCA_1,PCA_2
2021-01-01 02:00:00+01:00,01/01/2021,-2.9441227344967675,-2.676808891925665
2021-01-01 03:00:00+01:00,01/01/2021,-2.515068965968889,-2.6787000453132843
2021-01-01 04:00:00+01:00,01/01/2021,-2.5147160743535224,-2.613987854905785
2021-01-01 05:00:00+01:00,01/01/2021,-2.5574894833241015,-2.649156147030472
2021-01-01 06:00:00+01:00,01/01/2021,-2.6081576281856886,-2.6929308018381772
2021-01-01 07:00:00+01:00,01/01/2021,-2.587177087526013,-2.5762991614033206
2021-01-01 08:00:00+01:00,01/01/2021,-2.2150807035974522,-2.6228263442574016
2021-01-01 09:00:00+01:00,01/01/2021,-2.241536394659076,-2.966084961817367
2021-01-01 10:00:00+01:00,01/01/2021,-2.1946281720036453,-3.0675227383200827
2021-01-01 11:00:00+01:00,01/01/2021,-2.160172943755855,-3.192994699429324
2021-01-01 12:00:00+01:00,01/01/2021,-2.1327348112974676,-3.4099238108325456
2021-01-01 13:00:00+01:00,01/01/2021,-2.1271512356851843,-3.343260804097436
2021-01-01 14:00:00+01:00,01/01/2021,-2.041312562647334,-3.101236482029944
2021-01-01 15:00:00+01:00,01/01/2021,-2.096749814872349,-3.138330831541131
2021-01-01 16:00:00+01:00,01/01/2021,-2.1147488128392506,-3.0919203281461414
2021-01-01 17:00:00+01:00,01/01/2021,-2.226898889815936,-3.21184478859925
2021-01-01 18:00:00+01:00,01/01/2021,-2.4337865999080326,-3.570457637670918
2021-01-01 19:00:00+01:00,01/01/2021,-2.636484412106886,-3.5275142164936635
2021-01-01 20:00:00+01:00,01/01/2021,-2.663761005718167,-3.477481933291283
2021-01-01 21:00:00+01:00,01/01/2021,-2.6918226531936784,-3.3154499175476304
2021-01-01 22:00:00+01:00,01/01/2021,-2.7025590780730697,-3.271284359677639
2021-01-01 23:00:00+01:00,01/01/2021,-2.6817961818356966,-3.1961259284210164
2021-01-02 00:00:00+01:00,02/01/2021,-2.6912911938235027,-3.1115365983112095
2021-01-02 01:00:00+01:00,02/01/2021,-2.690055156231735,-3.0059836975365104
2021-01-02 02:00:00+01:00,02/01/2021,-2.704248189712075,-2.945757550087326
2021-01-02 03:00:00+01:00,02/01/2021,-2.6905868830995594,-2.8131114203401326
2021-01-02 04:00:00+01:00,02/01/2021,-2.6856367496478524,-2.7040289016894428
2021-01-02 05:00:00+01:00,02/01/2021,-2.7254799378185783,-2.71833588904152
2021-01-02 06:00:00+01:00,02/01/2021,-2.732162158232097,-2.7452912117860158
2021-01-02 07:00:00+01:00,02/01/2021,-2.7427548496701903,-2.655828617163569
2021-01-02 08:00:00+01:00,02/01/2021,-2.3619805617140335,-2.7608654655315563
2021-01-02 09:00:00+01:00,02/01/2021,-2.399289361180914,-3.201032571279251
2021-01-02 10:00:00+01:00,02/01/2021,-2.286160427019549,-3.2606512317289074
2021-01-02 11:00:00+01:00,02/01/2021,-2.1319043487255023,-3.272303657138465
2021-01-02 12:00:00+01:00,02/01/2021,-2.0033650528437588,-3.320131313135605
2021-01-02 13:00:00+01:00,02/01/2021,-2.0219364085552516,-3.3455928027263604
2021-01-02 14:00:00+01:00,02/01/2021,-2.131834648003075,-3.5114251243873524
2021-01-02 15:00:00+01:00,02/01/2021,-2.281890439091402,-3.6387971851541256
2021-01-02 16:00:00+01:00,02/01/2021,-2.3885989401124035,-3.64491868944524
2021-01-02 17:00:00+01:00,02/01/2021,-2.4343277819956635,-3.679641551049496
2021-01-02 18:00:00+01:00,02/01/2021,-2.4588665099732427,-3.502292349629597
2021-01-02 19:00:00+01:00,02/01/2021,-2.7571614711496837,-3.5626225737074764
2021-01-02 20:00:00+01:00,02/01/2021,-2.777101672589346,-3.517427908529434
2021-01-02 21:00:00+01:00,02/01/2021,-2.768515152162683,-3.3639661019982934
2021-01-02 22:00:00+01:00,02/01/2021,-2.758577669751073,-3.2384296863137516
2021-01-02 23:00:00+01:00,02/01/2021,-2.746472415481433,-3.132758906477005
2021-01-03 00:00:00+01:00,03/01/2021,-2.757068266509916,-3.0696418281478164
2021-01-03 01:00:00+01:00,03/01/2021,-2.743358885985256,-2.9115915604741796
2021-01-03 02:00:00+01:00,03/01/2021,-2.764249208824412,-2.880685952283364
2021-01-03 03:00:00+01:00,03/01/2021,-2.756520699375642,-2.8011021136312237
2021-01-03 04:00:00+01:00,03/01/2021,-2.7691756985122846,-2.7592062204141183
2021-01-03 05:00:00+01:00,03/01/2021,-2.776682741152519,-2.679453970249658
2021-01-03 06:00:00+01:00,03/01/2021,-2.7619536062759806,-2.6546301467857
2021-01-03 07:00:00+01:00,03/01/2021,-2.7581238670721424,-2.6039119999931186
2021-01-03 08:00:00+01:00,03/01/2021,-2.376694688777891,-2.6466768586716998
2021-01-03 09:00:00+01:00,03/01/2021,-2.4224739307496077,-3.2277106886393665
