hc_date,Text(degC),GloOr1(Wpm2),GloOr2(Wpm2),Tamb(degC),mode(),Tcsich(degC),Tcsifr(degC),ConsoCh(kWh),ConsoFr(kWh),ConsoBu(kWh),ConsoEc(kWh),Comm(-),Deb(m3h),Twout(degC),Twin(degC),Puisch(W),Puisfr(W),AppEBu(W),AppEEc(W),AppEqu(W),day,Occ(0ou1),AppPeo(W),date,cluster
2021-01-02 00:00:00,0.9,0.0,0.0,18.63636364,2.0,18.45454545,25.86363636,733783.126,271275.277,33688.624,3699.378,100.0,0.0,24.87,28.72,0.0,0.0,81.0,26.0,107.0,02/01/2021,0,0.0,2021-01-02,3.0
2021-01-02 01:00:00,0.9,0.0,0.0,18.59090909,2.0,18.45454545,25.86363636,733783.126,271275.277,33688.702,3699.404,100.0,0.0,23.77,28.72,0.0,0.0,78.0,26.0,104.0,02/01/2021,0,0.0,2021-01-02,3.0
2021-01-02 02:00:00,1.4,0.0,0.0,18.56363636,2.0,18.45454545,25.86363636,733783.126,271275.277,33688.78,3699.43,100.0,0.0,22.67,28.13,0.0,0.0,78.0,26.0,104.0,02/01/2021,0,0.0,2021-01-02,3.0
2021-01-02 03:00:00,1.6,0.0,0.0,18.42727273,2.0,18.45454545,25.86363636,733783.126,271275.277,33688.858,3699.457,100.0,0.0,21.57,27.54,0.0,0.0,78.0,27.0,105.0,02/01/2021,0,0.0,2021-01-02,3.0
2021-01-02 04:00:00,0.8,0.0,0.0,18.27272727,2.0,18.45454545,25.86363636,733783.126,271275.277,33688.935,3699.483,100.0,0.0,21.02,27.54,0.0,0.0,77.0,26.0,103.0,02/01/2021,0,0.0,2021-01-02,3.0
2021-01-02 05:00:00,-0.4,0.0,0.0,18.2,2.0,18.45454545,25.86363636,733783.126,271275.277,33689.019,3699.509,100.0,0.0,20.46,27.54,0.0,0.0,84.0,26.0,110.0,02/01/2021,0,0.0,2021-01-02,3.0
2021-01-02 06:00:00,-1.1,0.0,0.0,18.2,2.0,18.45454545,25.86363636,733783.126,271275.277,33689.103,3699.535,100.0,0.0,19.36,26.95,0.0,0.0,84.0,26.0,110.0,02/01/2021,0,0.0,2021-01-02,3.0
2021-01-02 07:00:00,-1.2,0.0,0.0,18.10909091,2.0,18.45454545,25.86363636,733783.126,271275.277,33689.187,3699.561,100.0,22.8,24.87,24.59,0.0,0.0,84.0,26.0,110.0,02/01/2021,0,0.0,2021-01-02,3.0
2021-01-02 08:00:00,-0.7,0.625,0.625,17.65454545,2.0,18.45454545,25.86363636,733783.126,271275.277,33689.271,3699.587,100.0,22.8,29.28,26.36,0.0,0.0,84.0,26.0,110.0,02/01/2021,0,0.0,2021-01-02,3.0
2021-01-02 09:00:00,-0.7,36.25,36.25,17.49090909,2.0,18.45454545,25.86363636,733783.126,271275.277,33689.354,3699.613,100.0,22.8,29.84,26.95,0.0,0.0,83.0,26.0,109.0,02/01/2021,0,0.0,2021-01-02,3.0
2021-01-02 10:00:00,-0.1,74.68684,84.7480642,17.50909091,2.0,18.45454545,25.86363636,733783.126,271275.277,33689.438,3699.639,100.0,21.2,30.39,27.54,0.0,0.0,84.0,26.0,110.0,02/01/2021,0,0.0,2021-01-02,3.0
2021-01-02 11:00:00,0.6,103.114235,122.436112,17.52727273,2.0,18.45454545,25.86363636,733783.126,271275.277,33689.519,3699.665,100.0,21.2,31.49,28.13,0.0,0.0,81.0,26.0,107.0,02/01/2021,0,0.0,2021-01-02,3.0
2021-01-02 12:00:00,1.2,109.162375,109.162375,17.56363636,2.0,18.45454545,25.86363636,733783.126,271275.277,33689.597,3699.692,100.0,20.8,31.49,28.72,0.0,0.0,78.0,27.0,105.0,02/01/2021,0,0.0,2021-01-02,3.0
